actualDist,rttRaw,estDistRaw,absErrRaw,rttEst,estDistEst,absErrEst,varRtt,meanRtt,countRtt,meanRss,distEst,distEstOwn
3.50051424793558,21,3.1478208090000006,0.35269343893557936,9,1.3490660610000003,2.1514481869355797,1.3333333333333333,21.333333333333332,3,-74.0,1.4299999475479126,2.0
10.11211649458213,34,5.096471786,5.01564470858213,20,2.9979245800000003,7.11419191458213,13.0,35.0,3,-78.0,3.119999885559082,4.0
10.622753880232752,71,10.642632259,0.01987837876724896,52,7.794603908,2.828149972232752,36.0,72.0,3,-86.66666666666667,7.929999828338623,8.0
1.6860901518009053,107,16.038896503,14.352806351199096,84,12.591283236000002,10.905193084199098,70.33333333333334,107.33333333333333,3,-85.66666666666667,12.609999656677246,12.600000381469727
3.50051424793558,19,2.8480283510000004,0.6524858969355796,7,1.049273603,2.45124064493558,3.0,19.0,3,-74.0,1.1699999570846558,2.0
10.11211649458213,34,5.096471786,5.01564470858213,20,2.9979245800000003,7.11419191458213,13.0,35.0,3,-78.0,3.119999885559082,4.0
10.622753880232752,65,9.743254885,0.8794989952327512,47,7.045122763,3.5776311172327517,50.33333333333333,65.33333333333333,3,-87.0,7.150000095367432,8.0
1.6860901518009053,96,14.390037984000001,12.703947832199095,74,11.092320946000001,9.406230794199097,0.0,97.0,1,-85.0,11.180000305175781,8.0
3.50051424793558,17,2.548235893,0.9522783549355798,6,0.8993773740000001,2.60113687393558,2.3333333333333335,17.333333333333332,3,-74.0,0.9100000262260437,2.0
10.11211649458213,37,5.5461604730000005,4.56595602158213,23,3.447613267,6.664503227582131,17.333333333333336,37.333333333333336,3,-78.0,3.509999990463257,4.0
10.622753880232752,51,7.644707679,2.978046201232752,35,5.246368015000001,5.376385865232751,312.5,51.5,2,-86.5,5.329999923706055,8.0
1.6860901518009053,105,15.739104045,14.053013893199093,82,12.291490778000002,10.605400626199096,56.33333333333333,105.66666666666667,3,-85.66666666666667,12.350000381469727,12.0
3.50051424793558,16,2.3983396640000003,1.1021745839355797,5,0.7494811450000001,2.7510331029355797,9.333333333333334,16.333333333333332,3,-73.66666666666667,0.7799999713897705,2.0
10.11211649458213,36,5.396264244000001,4.715852250582129,22,3.2977170380000005,6.81439945658213,26.333333333333336,36.666666666666664,3,-78.0,3.380000114440918,4.0
10.622753880232752,70,10.492736030000001,0.13001785023275048,52,7.794603908,2.828149972232752,86.33333333333334,70.33333333333333,3,-85.66666666666667,7.800000190734863,8.0
1.6860901518009053,106,15.889000274,14.202910122199096,83,12.441387007,10.755296855199095,208.0,107.0,3,-85.0,12.479999542236328,12.0
3.50051424793558,14,2.098547206,1.4019670419355799,3,0.44968868700000003,3.05082556093558,3.0,15.0,3,-74.33333333333333,0.5199999809265137,2.0
10.11211649458213,39,5.845952931000001,4.266163563582129,25,3.747405725,6.36471076958213,2.333333333333333,39.333333333333336,3,-77.66666666666667,3.7699999809265137,2.0
10.622753880232752,64,9.593358656000001,1.0293952242327506,46,6.895226534,3.727527346232752,18.0,64.0,2,-86.0,7.019999980926514,8.0
1.6860901518009053,115,17.238066335000003,15.551976183199098,91,13.640556839,11.954466687199094,32.33333333333333,115.33333333333333,3,-86.33333333333333,13.649999618530273,13.0
3.50051424793558,15,2.2484434350000004,1.2520708129355795,4,0.5995849160000001,2.90092933193558,2.3333333333333335,15.666666666666666,3,-74.0,0.6499999761581421,2.0
10.11211649458213,35,5.246368015000001,4.8657484795821295,21,3.1478208090000006,6.96429568558213,9.0,36.0,3,-77.66666666666667,3.25,2.0
10.622753880232752,82,12.291490778000002,1.6687368977672499,62,9.293566198,1.3291876822327513,2.0,82.0,2,-85.0,9.359999656677246,8.0
1.6860901518009053,92,13.790453068,12.104362916199094,71,10.642632259,8.956542107199095,193.0,93.0,3,-86.66666666666667,10.65999984741211,8.0
3.50051424793558,15,2.2484434350000004,1.2520708129355795,4,0.5995849160000001,2.90092933193558,2.3333333333333335,15.666666666666666,3,-73.0,0.6499999761581421,2.0
10.11211649458213,36,5.396264244000001,4.715852250582129,22,3.2977170380000005,6.81439945658213,6.333333333333333,36.333333333333336,3,-77.66666666666667,3.380000114440918,2.0
10.622753880232752,71,10.642632259,0.01987837876724896,52,7.794603908,2.828149972232752,34.33333333333333,71.33333333333333,3,-85.0,7.929999828338623,8.0
1.6860901518009053,118,17.687755022,16.001664870199097,93,13.940349297000003,12.254259145199097,158.33333333333334,118.33333333333333,3,-86.66666666666667,14.039999961853027,13.0
3.50051424793558,17,2.548235893,0.9522783549355798,6,0.8993773740000001,2.60113687393558,1.3333333333333333,17.666666666666668,3,-74.0,0.9100000262260437,2.0
10.11211649458213,34,5.096471786,5.01564470858213,20,2.9979245800000003,7.11419191458213,13.0,35.0,3,-78.66666666666667,3.119999885559082,4.0
10.622753880232752,67,10.043047343000001,0.5797065372327506,49,7.344915221,3.277838659232752,121.0,67.0,3,-86.33333333333333,7.409999847412109,8.0
1.6860901518009053,107,16.038896503,14.352806351199096,84,12.591283236000002,10.905193084199098,21.333333333333332,107.66666666666667,3,-86.66666666666667,12.609999656677246,12.600000381469727
3.50051424793558,17,2.548235893,0.9522783549355798,6,0.8993773740000001,2.60113687393558,2.333333333333333,17.333333333333332,3,-73.33333333333333,0.9100000262260437,2.0
10.11211649458213,36,5.396264244000001,4.715852250582129,22,3.2977170380000005,6.81439945658213,1.3333333333333335,36.666666666666664,3,-78.0,3.380000114440918,4.0
