actualDist,rttRaw,estDistRaw,absErrRaw,rttEst,estDistEst,absErrEst,varRtt,meanRtt,countRtt,meanRss,distEst
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.1428571428571428,4.0,8,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.7142857142857142,4.5,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.4107142857142858,3.625,8,-66.125,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,0.8571428571428571,5.0,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.125,3.375,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.5714285714285714,3.7142857142857144,7,-66.28571428571429,0.0
1,2,0.29979245800000004,0.700207542,0,0.0,1.0,1.5535714285714286,3.125,8,-66.125,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,0.8095238095238096,4.857142857142857,7,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,0.5,4.75,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,0.5,3.25,8,-66.125,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.7142857142857142,4.5,8,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.9821428571428572,4.625,8,-66.0,0.0
1,5,0.7494811450000001,0.25051885499999993,0,0.0,1.0,0.9821428571428571,5.125,8,-66.125,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.4107142857142858,4.375,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,0.0,3.0,7,-66.14285714285714,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.0714285714285714,4.25,8,-66.125,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,0.6964285714285714,4.875,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.5535714285714286,3.875,8,-66.0,0.0
1,2,0.29979245800000004,0.700207542,0,0.0,1.0,3.2380952380952377,2.7142857142857144,7,-56.714285714285715,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.4107142857142858,4.375,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.1428571428571428,4.0,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.1428571428571428,4.0,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.9523809523809526,3.5714285714285716,7,-66.71428571428571,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,0.8571428571428571,3.5,8,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.4107142857142858,4.375,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.2857142857142858,3.4285714285714284,7,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,2.4107142857142856,4.125,8,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,5.571428571428572,4.285714285714286,7,-66.71428571428571,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.1428571428571428,4.0,8,-66.0,0.0
1,5,0.7494811450000001,0.25051885499999993,0,0.0,1.0,0.9821428571428571,5.125,8,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.9285714285714286,4.25,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.5535714285714286,3.875,8,-66.5,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.3571428571428572,4.75,8,-66.125,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.3571428571428572,3.25,8,-66.5,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.1428571428571428,4.0,8,-66.375,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,0.8571428571428571,4.5,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.4107142857142858,3.625,8,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.5535714285714286,4.125,8,-66.375,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.3571428571428572,4.75,8,-66.0,0.0
1,6,0.8993773740000001,0.10062262599999994,0,0.0,1.0,1.7142857142857142,6.5,8,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.0714285714285714,4.25,8,-66.125,0.0
1,2,0.29979245800000004,0.700207542,0,0.0,1.0,1.8392857142857142,2.875,8,-57.875,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,0.5,4.75,8,-66.0,0.0
1,3,0.44968868700000003,0.5503113129999999,0,0.0,1.0,1.4107142857142858,3.625,8,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,0.125,5.125,8,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.125,4.625,8,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.0714285714285714,4.25,8,-66.0,0.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,0.8571428571428571,4.5,8,-66.0,0.0
