timestamp,anchorId,rtt_est,rtt_raw,dist_est,num_frames,frame_index,rssi,rtt,t1,t2,t3,t4
1623256077687071130,7c:df:a1:0e:db:f1,42,59,6.369999885559082,8,0,-75,59376,434662226562,4021545131250,4021649223437,434766378125
1623256077687071130,7c:df:a1:0e:db:f1,42,59,6.369999885559082,8,1,-75,64063,466838226562,4053721229687,4053825223437,466942284375
1623256077687071130,7c:df:a1:0e:db:f1,42,59,6.369999885559082,8,2,-74,57813,499021226562,4085904323437,4086008223437,499125184375
1623256077687071130,7c:df:a1:0e:db:f1,42,59,6.369999885559082,8,3,-75,59376,536087251562,4122970459375,4123074223437,536191075000
1623256077687071130,7c:df:a1:0e:db:f1,42,59,6.369999885559082,8,4,-75,57813,570623251562,4157506560937,4157610223437,570726971875
1623256077687071130,7c:df:a1:0e:db:f1,42,59,6.369999885559082,8,5,-75,59375,600475226562,4187358626562,4187462223437,600578882812
1623256077687071130,7c:df:a1:0e:db:f1,42,59,6.369999885559082,8,6,-75,64063,634464226562,4221347731250,4221451223437,634567782812
1623256077687071130,7c:df:a1:0e:db:f1,42,59,6.369999885559082,8,7,-75,56251,668405226562,4255288828125,4255393223437,668509678125
1623256078389731060,7c:df:a1:05:87:c7,84,107,12.609999656677246,8,0,-76,109375,256793775000,4721585221875,4721689223437,256897885937
1623256078389731060,7c:df:a1:05:87:c7,84,107,12.609999656677246,8,1,-76,107812,288480762500,4753272210937,4753376223437,288584882812
1623256078389731060,7c:df:a1:05:87:c7,84,107,12.609999656677246,8,2,-76,104687,320621775000,4785413226562,4785517223437,320725876562
1623256078389731060,7c:df:a1:05:87:c7,84,107,12.609999656677246,8,3,-76,106250,355131762500,4819923217187,4820027223437,355235875000
1623256078389731060,7c:df:a1:05:87:c7,84,107,12.609999656677246,8,4,-76,107812,387326762500,4852118220312,4852222223437,387430873437
1623256078389731060,7c:df:a1:05:87:c7,84,107,12.609999656677246,8,5,-76,107812,419493775000,4884285235937,4884389223437,419597870312
1623256078389731060,7c:df:a1:05:87:c7,84,107,12.609999656677246,8,6,-76,107812,455388762500,4920180226562,4920284223437,455492867187
1623256078389731060,7c:df:a1:05:87:c7,84,107,12.609999656677246,8,7,-76,106250,487583762500,4952375228125,4952479223437,487687864062
1623256079088050868,7c:df:a1:06:b9:dd,42,59,6.369999885559082,8,0,-78,53125,4390003160937,5419846982812,5419951223437,4390107454687
1623256079088050868,7c:df:a1:06:b9:dd,42,59,6.369999885559082,8,1,-79,60938,4422478160937,5452322010937,5452426223437,4422582434375
1623256079088050868,7c:df:a1:06:b9:dd,42,59,6.369999885559082,8,2,-79,60938,4454382160937,5484226032812,5484330223437,4454486412500
1623256079088050868,7c:df:a1:06:b9:dd,42,59,6.369999885559082,8,3,-79,54688,4490146160937,5519990056250,5520094223437,4490250382812
1623256079088050868,7c:df:a1:06:b9:dd,42,59,6.369999885559082,8,4,-78,67188,4522707160937,5552551087500,5552655223437,4522811364062
1623256079088050868,7c:df:a1:06:b9:dd,42,59,6.369999885559082,8,5,-78,59375,4554530160937,5584374107812,5584478223437,4554634335937
1623256079088050868,7c:df:a1:06:b9:dd,42,59,6.369999885559082,8,6,-79,60938,4590325160937,5620169132812,5620273223437,4590429312500
1623256079088050868,7c:df:a1:06:b9:dd,42,59,6.369999885559082,8,7,-78,60938,4622514160937,5652358159375,5652462223437,4622618285937
1623256079782277889,7c:df:a1:0f:74:e9,10,22,1.559999942779541,7,0,-71,23438,3453734842187,6119791029687,6119895223437,3453839059375
1623256079782277889,7c:df:a1:0f:74:e9,10,22,1.559999942779541,7,1,-71,23438,3485908842187,6151965067187,6152069223437,3486013021875
1623256079782277889,7c:df:a1:0f:74:e9,10,22,1.559999942779541,7,2,-71,21876,3518077842187,6184134103125,6184238223437,3518181984375
1623256079782277889,7c:df:a1:0f:74:e9,10,22,1.559999942779541,7,3,-71,20313,3553878842187,6219935142187,6220039223437,3553982943750
1623256079782277889,7c:df:a1:0f:74:e9,10,22,1.559999942779541,7,4,-71,21875,3586068842187,6252125179687,6252229223437,3586172907812
1623256079782277889,7c:df:a1:0f:74:e9,10,22,1.559999942779541,7,5,-71,26563,3618362842187,6284419218750,6284523223437,3618466873437
1623256079782277889,7c:df:a1:0f:74:e9,10,22,1.559999942779541,7,6,-71,23438,3660756842187,6326813265625,6326917223437,3660860823437
1623256080487515405,7c:df:a1:0e:db:f1,40,57,6.110000133514404,8,0,-75,59375,3232839226562,108844076562,108947823437,3232943032812
1623256080487515405,7c:df:a1:0e:db:f1,40,57,6.110000133514404,8,1,-75,57813,3265011226562,141016170312,141119823437,3265114937500
1623256080487515405,7c:df:a1:0e:db:f1,40,57,6.110000133514404,8,2,-75,59375,3297201251562,173206292187,173309823437,3297304842187
1623256080487515405,7c:df:a1:0e:db:f1,40,57,6.110000133514404,8,3,-75,54688,3335625226562,211630378125,211734823437,3335729726562
1623256080487515405,7c:df:a1:0e:db:f1,40,57,6.110000133514404,8,4,-75,57813,3365321226562,241326468750,241430823437,3365425639062
