Ponto,actualDist,rttRaw,estDistRaw,absErrRaw,rttEst,estDistEst,absErrEst,varRtt,meanRtt,countRtt,meanRss,distEst,distEstOwn,rttNovoRaw,errNovoRaw,rttNovoEst,errNovoEst,errArtigo
0,10.62275388,67,10.04304734,0.579706537,49,7.344915221,3.277838659,121.0,67.0,3,-86.33333333,7.409999847,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,107,16.0388965,14.35280635,84,12.59128324,10.90519308,21.33333333,107.6666667,3,-86.66666667,12.60999966,12.60000038,17,0.8621457409999997,6,0.7867127780000001,10.913910228
0,3.500514248,17,2.548235893,0.952278355,6,0.899377374,2.601136874,2.333333333,17.33333333,3,-73.33333333,0.910000026,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,36,5.396264244,4.715852251,22,3.297717038,6.814399457,1.333333333,36.66666667,3,-78.0,3.380000114,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,82,12.29149078,1.668736898,62,9.293566198,1.329187682,329.3333333,82.66666667,3,-86.66666667,9.359999657,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,109,16.33868896,14.65259881,85,12.74117947,11.05508931,254.3333333,109.3333333,3,-86.0,12.86999989,12.60000038,17,0.8621457409999997,6,0.7867127780000001,10.913910228
0,3.500514248,18,2.698132122,0.802382126,6,0.899377374,2.601136874,2.333333333,18.66666667,3,-74.0,1.039999962,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,33,4.946575557,5.165540938,19,2.848028351,7.264088144,9.333333333,33.33333333,3,-78.0,2.99000001,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,72,10.79252849,0.169774608,53,7.944500137,2.678253743,450.0,73.0,2,-86.0,8.06000042,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,119,17.83765125,16.1515611,94,14.09024553,12.40415537,3.0,119.0,3,-85.66666667,14.17000008,13.0,17,0.8621457409999997,6,0.7867127780000001,11.313909848
0,3.500514248,18,2.698132122,0.802382126,6,0.899377374,2.601136874,4.333333333,18.33333333,3,-74.0,1.039999962,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,34,5.096471786,5.015644709,20,2.99792458,7.114191915,13.0,35.0,3,-77.66666667,3.119999886,2.0,28,5.915022078,15,7.863673055,8.11211649
0,10.62275388,71,10.64263226,0.019878379,52,7.794603908,2.828149972,292.3333333,71.66666667,3,-86.0,7.929999828,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,102,15.28941536,13.60332521,79,11.84180209,10.15571194,358.3333333,102.6666667,3,-86.33333333,11.96000004,12.0,17,0.8621457409999997,6,0.7867127780000001,10.313909848
0,3.500514248,15,2.248443435,1.252070813,4,0.599584916,2.900929332,1.333333333,15.33333333,3,-73.33333333,0.649999976,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,34,5.096471786,5.015644709,20,2.99792458,7.114191915,1.333333333,34.66666667,3,-78.0,3.119999886,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,57,8.544085053,2.078668827,40,5.99584916,4.62690472,0.0,58.0,1,-86.0,6.110000134,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,103,15.43931159,13.75322144,80,11.99169832,10.30560817,17.33333333,103.3333333,3,-85.33333333,12.09000015,12.0,17,0.8621457409999997,6,0.7867127780000001,10.313909848
0,3.500514248,16,2.398339664,1.102174584,5,0.749481145,2.751033103,12.33333333,16.66666667,3,-74.0,0.779999971,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,35,5.246368015,4.86574848,21,3.147820809,6.964295686,8.333333333,36.33333333,3,-77.66666667,3.25,2.0,28,5.915022078,15,7.863673055,8.11211649
0,10.62275388,75,11.24221718,0.619463295,56,8.394188824,2.228565056,100.3333333,75.66666667,3,-85.66666667,8.449999809,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,102,15.28941536,13.60332521,79,11.84180209,10.15571194,3.0,103.0,3,-85.33333333,11.96000004,12.0,17,0.8621457409999997,6,0.7867127780000001,10.313909848
0,3.500514248,16,2.398339664,1.102174584,5,0.749481145,2.751033103,6.333333333,16.66666667,3,-74.0,0.779999971,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,36,5.396264244,4.715852251,22,3.297717038,6.814399457,10.33333333,36.66666667,3,-78.33333333,3.380000114,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,72,10.79252849,0.169774608,53,7.944500137,2.678253743,292.3333333,72.66666667,3,-87.0,8.06000042,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,102,15.28941536,13.60332521,79,11.84180209,10.15571194,93.0,102.0,3,-84.66666667,11.96000004,10.98999977,17,0.8621457409999997,6,0.7867127780000001,9.303909618
0,3.500514248,17,2.548235893,0.952278355,6,0.899377374,2.601136874,0.0,17.0,3,-74.0,0.910000026,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,39,5.845952931,4.266163564,25,3.747405725,6.36471077,0.0,39.0,2,-78.0,3.769999981,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,83,12.44138701,1.818633127,63,9.443462427,1.179291453,32.0,84.0,2,-87.0,9.489999771,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,93,13.9403493,12.25425915,71,10.64263226,8.956542107,49.0,94.0,3,-85.0,10.78999996,8.0,17,0.8621457409999997,6,0.7867127780000001,6.313909848
0,3.500514248,17,2.548235893,0.952278355,6,0.899377374,2.601136874,10.33333333,17.66666667,3,-74.0,0.910000026,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,38,5.696056702,4.416059793,24,3.597509496,6.514606999,6.333333333,38.33333333,3,-77.66666667,3.640000105,2.0,28,5.915022078,15,7.863673055,8.11211649
0,10.62275388,78,11.69190586,1.069151982,58,8.693981282,1.928772598,480.5,78.5,2,-86.5,8.840000153,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,98,14.68983044,13.00374029,76,11.3921134,9.706023252,129.3333333,98.33333333,3,-85.66666667,11.43999958,12.0,17,0.8621457409999997,6,0.7867127780000001,10.313909848
0,3.500514248,17,2.548235893,0.952278355,6,0.899377374,2.601136874,2.0,18.0,2,-73.5,0.910000026,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,36,5.396264244,4.715852251,22,3.297717038,6.814399457,1.333333333,36.66666667,3,-78.0,3.380000114,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,56,8.394188824,2.228565056,39,5.845952931,4.776800949,662.3333333,56.66666667,3,-87.0,5.980000019,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,94,14.09024553,12.40415537,72,10.79252849,9.106438336,108.3333333,94.66666667,3,-85.33333333,10.92000008,8.0,17,0.8621457409999997,6,0.7867127780000001,6.313909848
0,3.500514248,17,2.548235893,0.952278355,6,0.899377374,2.601136874,2.333333333,17.33333333,3,-74.0,0.910000026,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,36,5.396264244,4.715852251,22,3.297717038,6.814399457,10.33333333,36.66666667,3,-78.33333333,3.380000114,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,81,12.14159455,1.518840669,61,9.143669969,1.479083911,0.0,81.0,1,-87.0,9.229999542,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,105,15.73910405,14.05301389,82,12.29149078,10.60540063,76.0,105.0,3,-86.33333333,12.35000038,12.0,17,0.8621457409999997,6,0.7867127780000001,10.313909848
0,3.500514248,19,2.848028351,0.652485897,7,1.049273603,2.451240645,9.333333333,19.33333333,3,-73.33333333,1.169999957,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,36,5.396264244,4.715852251,22,3.297717038,6.814399457,1.333333333,37.33333333,3,-78.33333333,3.380000114,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,78,11.69190586,1.069151982,58,8.693981282,1.928772598,192.0,78.0,3,-87.0,8.840000153,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,104,15.58920782,13.90311766,81,12.14159455,10.4555044,196.3333333,104.6666667,3,-86.0,12.22000027,12.0,17,0.8621457409999997,6,0.7867127780000001,10.313909848
0,3.500514248,18,2.698132122,0.802382126,6,0.899377374,2.601136874,2.333333333,18.66666667,3,-74.0,1.039999962,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,36,5.396264244,4.715852251,22,3.297717038,6.814399457,1.333333333,36.66666667,3,-78.0,3.380000114,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,83,12.44138701,1.818633127,63,9.443462427,1.179291453,12.5,83.5,2,-87.0,9.489999771,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,115,17.23806634,15.55197618,91,13.64055684,11.95446669,18.0,116.0,2,-86.0,13.64999962,13.0,17,0.8621457409999997,6,0.7867127780000001,11.313909848
0,3.500514248,16,2.398339664,1.102174584,5,0.749481145,2.751033103,0.333333333,16.66666667,3,-74.0,0.779999971,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,37,5.546160473,4.565956022,23,3.447613267,6.664503228,12.33333333,37.66666667,3,-78.0,3.50999999,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,57,8.544085053,2.078668827,40,5.99584916,4.62690472,32.0,57.0,2,-87.0,6.110000134,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,113,16.93827388,15.25218373,89,13.34076438,11.65467423,37.0,113.0,3,-86.33333333,13.39000034,12.60000038,17,0.8621457409999997,6,0.7867127780000001,10.913910228
0,3.500514248,16,2.398339664,1.102174584,5,0.749481145,2.751033103,0.333333333,16.66666667,3,-74.0,0.779999971,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,37,5.546160473,4.565956022,23,3.447613267,6.664503228,0.0,38.0,3,-78.0,3.50999999,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,90,13.49066061,2.86790673,69,10.3428398,0.279914079,0.0,91.0,2,-88.0,10.39999962,9.989999771,50,3.12794243,34,5.526282094,0.6327541089999986
0,1.686090152,99,14.83972667,13.15363652,77,11.54200963,9.855919481,252.3333333,99.33333333,3,-86.33333333,11.56999969,12.0,17,0.8621457409999997,6,0.7867127780000001,10.313909848
0,3.500514248,17,2.548235893,0.952278355,6,0.899377374,2.601136874,3.0,18.0,3,-74.0,0.910000026,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,41,6.145745389,3.966371106,26,3.897301954,6.214814541,0.5,41.5,2,-78.0,4.03000021,4.5,28,5.915022078,15,7.863673055,5.61211649
0,10.62275388,80,11.99169832,1.36894444,60,8.99377374,1.62898014,182.3333333,80.33333333,3,-87.0,9.100000381,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,111,16.63848142,14.95239127,87,13.04097192,11.35488177,277.0,112.0,3,-85.33333333,13.13000011,12.60000038,17,0.8621457409999997,6,0.7867127780000001,10.913910228
0,3.500514248,17,2.548235893,0.952278355,6,0.899377374,2.601136874,2.333333333,17.33333333,3,-74.0,0.910000026,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,37,5.546160473,4.565956022,23,3.447613267,6.664503228,0.0,38.0,2,-78.5,3.50999999,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,50,7.49481145,3.12794243,34,5.096471786,5.526282094,200.3333333,50.33333333,3,-86.66666667,5.199999809,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,110,16.48858519,14.80249504,86,12.89107569,11.20498554,114.3333333,110.3333333,3,-85.66666667,13.0,12.60000038,17,0.8621457409999997,6,0.7867127780000001,10.913910228
0,3.500514248,19,2.848028351,0.652485897,7,1.049273603,2.451240645,0.333333333,19.66666667,3,-73.33333333,1.169999957,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,39,5.845952931,4.266163564,25,3.747405725,6.36471077,0.0,39.0,2,-78.5,3.769999981,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,66,9.893151114,0.729602766,48,7.195018992,3.427734888,157.0,66.0,3,-87.0,7.28000021,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,110,16.48858519,14.80249504,86,12.89107569,11.20498554,91.0,111.0,3,-85.66666667,13.0,12.60000038,17,0.8621457409999997,6,0.7867127780000001,10.913910228
0,3.500514248,17,2.548235893,0.952278355,6,0.899377374,2.601136874,1.333333333,17.66666667,3,-74.0,0.910000026,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,32,4.796679328,5.315437167,19,2.848028351,7.264088144,8.0,32.0,2,-78.5,2.859999895,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,82,12.29149078,1.668736898,62,9.293566198,1.329187682,417.3333333,82.33333333,3,-86.66666667,9.359999657,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,111,16.63848142,14.95239127,87,13.04097192,11.35488177,421.0,112.0,3,-86.33333333,13.13000011,12.60000038,17,0.8621457409999997,6,0.7867127780000001,10.913910228
0,3.500514248,18,2.698132122,0.802382126,6,0.899377374,2.601136874,9.0,19.0,3,-74.0,1.039999962,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,39,5.845952931,4.266163564,25,3.747405725,6.36471077,2.333333333,39.33333333,3,-78.0,3.769999981,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,85,12.74117947,2.118425585,65,9.743254885,0.879498995,0.0,86.0,1,-88.0,9.75,9.989999771,50,3.12794243,34,5.526282094,0.6327541089999986
0,1.686090152,114,17.08817011,15.40207995,90,13.49066061,11.80457046,16.33333333,114.6666667,3,-85.33333333,13.52000046,13.0,17,0.8621457409999997,6,0.7867127780000001,11.313909848
0,3.500514248,17,2.548235893,0.952278355,6,0.899377374,2.601136874,2.333333333,17.33333333,3,-74.0,0.910000026,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,34,5.096471786,5.015644709,20,2.99792458,7.114191915,17.33333333,34.33333333,3,-78.0,3.119999886,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,90,13.49066061,2.86790673,69,10.3428398,0.279914079,163.0,91.0,3,-88.0,10.39999962,9.989999771,50,3.12794243,34,5.526282094,0.6327541089999986
0,1.686090152,106,15.88900027,14.20291012,83,12.44138701,10.75529686,28.0,107.0,3,-85.66666667,12.47999954,12.0,17,0.8621457409999997,6,0.7867127780000001,10.313909848
0,3.500514248,20,2.99792458,0.502589668,8,1.199169832,2.301344416,2.333333333,20.33333333,3,-74.0,1.299999952,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,36,5.396264244,4.715852251,22,3.297717038,6.814399457,10.33333333,36.66666667,3,-78.0,3.380000114,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,51,7.644707679,2.978046201,35,5.246368015,5.376385865,0.0,52.0,1,-87.0,5.329999924,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,109,16.33868896,14.65259881,85,12.74117947,11.05508931,300.0,110.0,3,-85.66666667,12.86999989,12.60000038,17,0.8621457409999997,6,0.7867127780000001,10.913910228
0,3.500514248,18,2.698132122,0.802382126,6,0.899377374,2.601136874,3.0,18.0,3,-74.0,1.039999962,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,35,5.246368015,4.86574848,21,3.147820809,6.964295686,0.0,36.0,3,-78.33333333,3.25,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,80,11.99169832,1.36894444,60,8.99377374,1.62898014,166.3333333,80.66666667,3,-87.33333333,9.100000381,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,108,16.18879273,14.50270258,84,12.59128324,10.90519308,142.3333333,108.6666667,3,-85.66666667,12.73999977,12.60000038,17,0.8621457409999997,6,0.7867127780000001,10.913910228
0,3.500514248,18,2.698132122,0.802382126,6,0.899377374,2.601136874,8.333333333,18.66666667,3,-74.0,1.039999962,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,36,5.396264244,4.715852251,22,3.297717038,6.814399457,21.33333333,36.33333333,3,-77.66666667,3.380000114,2.0,28,5.915022078,15,7.863673055,8.11211649
0,10.62275388,78,11.69190586,1.069151982,58,8.693981282,1.928772598,0.0,78.0,1,-87.0,8.840000153,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,111,16.63848142,14.95239127,87,13.04097192,11.35488177,12.5,111.5,2,-85.5,13.13000011,12.60000038,17,0.8621457409999997,6,0.7867127780000001,10.913910228
0,3.500514248,17,2.548235893,0.952278355,6,0.899377374,2.601136874,3.0,18.0,3,-73.66666667,0.910000026,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,35,5.246368015,4.86574848,21,3.147820809,6.964295686,5.333333333,35.33333333,3,-78.0,3.25,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,77,11.54200963,0.919255753,58,8.693981282,1.928772598,112.0,77.0,3,-87.0,8.710000038,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,104,15.58920782,13.90311766,81,12.14159455,10.4555044,0.0,105.0,2,-85.5,12.22000027,12.0,17,0.8621457409999997,6,0.7867127780000001,10.313909848
0,3.500514248,18,2.698132122,0.802382126,6,0.899377374,2.601136874,2.333333333,18.66666667,3,-73.66666667,1.039999962,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,33,4.946575557,5.165540938,19,2.848028351,7.264088144,6.333333333,33.33333333,3,-78.0,2.99000001,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,70,10.49273603,0.13001785,52,7.794603908,2.828149972,242.0,70.0,2,-87.0,7.800000191,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,93,13.9403493,12.25425915,71,10.64263226,8.956542107,133.0,93.0,3,-86.33333333,10.78999996,8.0,17,0.8621457409999997,6,0.7867127780000001,6.313909848
0,3.500514248,18,2.698132122,0.802382126,6,0.899377374,2.601136874,4.333333333,18.33333333,3,-73.33333333,1.039999962,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,36,5.396264244,4.715852251,22,3.297717038,6.814399457,7.0,37.0,3,-78.33333333,3.380000114,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,74,11.09232095,0.469567066,55,8.244292595,2.378461285,760.5,74.5,2,-86.5,8.319999695,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,114,17.08817011,15.40207995,90,13.49066061,11.80457046,16.33333333,114.6666667,3,-86.33333333,13.52000046,13.0,17,0.8621457409999997,6,0.7867127780000001,11.313909848
0,3.500514248,17,2.548235893,0.952278355,6,0.899377374,2.601136874,5.333333333,17.33333333,3,-73.0,0.910000026,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,33,4.946575557,5.165540938,19,2.848028351,7.264088144,9.333333333,33.33333333,3,-78.0,2.99000001,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,85,12.74117947,2.118425585,65,9.743254885,0.879498995,288.0,85.0,2,-85.5,9.75,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
0,1.686090152,111,16.63848142,14.95239127,87,13.04097192,11.35488177,72.33333333,111.3333333,3,-86.33333333,13.13000011,12.60000038,17,0.8621457409999997,6,0.7867127780000001,10.913910228
0,3.500514248,18,2.698132122,0.802382126,6,0.899377374,2.601136874,0.0,19.0,3,-74.0,1.039999962,2.0,14,1.4019670419999999,3,3.050825561,1.500514248
0,10.11211649,37,5.546160473,4.565956022,23,3.447613267,6.664503228,17.33333333,37.66666667,3,-78.33333333,3.50999999,4.0,28,5.915022078,15,7.863673055,6.11211649
0,10.62275388,61,9.143669969,1.479083911,44,6.595434076,4.027319804,12.5,61.5,2,-87.0,6.630000114,8.0,50,3.12794243,34,5.526282094,2.6227538799999994
