actualDist,rttRaw,estDistRaw,absErrRaw,rttEst,estDistEst,absErrEst,varRtt,meanRtt,countRtt,meanRss,distEst,rttNovoRaw,errNovoRaw,rttNovoEst,errNovoEst,errArtigo
1,7,1.049273603,0.049273603,0,0.0,1.0,1.1428571428571428,7.0,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,6,0.8993773740000001,0.1006226259999999,0,0.0,1.0,1.3571428571428572,6.25,8,-65.875,0.0,3,0.550311313,0,1.0,1.0
1,5,0.7494811450000001,0.2505188549999999,0,0.0,1.0,0.2678571428571428,5.375,8,-65.875,0.0,3,0.550311313,0,1.0,1.0
1,5,0.7494811450000001,0.2505188549999999,0,0.0,1.0,1.0714285714285714,5.75,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,6,0.8993773740000001,0.1006226259999999,0,0.0,1.0,0.6964285714285714,6.125,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,6,0.8993773740000001,0.1006226259999999,0,0.0,1.0,0.8571428571428571,6.5,8,-65.875,0.0,3,0.550311313,0,1.0,1.0
1,6,0.8993773740000001,0.1006226259999999,0,0.0,1.0,1.3571428571428572,6.25,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,6,0.8993773740000001,0.1006226259999999,0,0.0,1.0,0.6964285714285714,6.125,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,0.8571428571428571,5.0,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,5,0.7494811450000001,0.2505188549999999,0,0.0,1.0,0.2678571428571428,5.375,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,5,0.7494811450000001,0.2505188549999999,0,0.0,1.0,3.642857142857143,5.25,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,3.982142857142857,4.375,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,5,0.7494811450000001,0.2505188549999999,0,0.0,1.0,0.2678571428571428,5.375,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,5,0.7494811450000001,0.2505188549999999,0,0.0,1.0,0.2678571428571428,5.625,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,6,0.8993773740000001,0.1006226259999999,0,0.0,1.0,1.4107142857142858,6.625,8,-65.875,0.0,3,0.550311313,0,1.0,1.0
1,6,0.8993773740000001,0.1006226259999999,0,0.0,1.0,1.5535714285714286,6.125,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,5,0.7494811450000001,0.2505188549999999,0,0.0,1.0,0.3,5.5,6,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.125,4.625,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.125,4.625,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,4,0.5995849160000001,0.4004150839999999,0,0.0,1.0,1.0,5.0,7,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,5,0.7494811450000001,0.2505188549999999,0,0.0,1.0,0.9821428571428572,5.125,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
1,5,0.7494811450000001,0.2505188549999999,0,0.0,1.0,0.2142857142857142,5.25,8,-66.0,0.0,3,0.550311313,0,1.0,1.0
