timestamp,anchorId,rtt_est,rtt_raw,dist_est,own_est,num_frames,frame_index,rssi,rtt,t1,t2,t3,t4
1623775791972004788,7c:df:a1:06:b9:dd,42,59,6.369999885559082,9.989999771118164,3,0,-88,59376,2169319964062,1161145228125,1161249423437,2169424218750
1623775791972004788,7c:df:a1:06:b9:dd,42,59,6.369999885559082,9.989999771118164,3,1,-87,59375,2201587964062,1193413223437,1193517423437,2201692223437
1623775791972004788,7c:df:a1:06:b9:dd,42,59,6.369999885559082,9.989999771118164,3,2,-89,60938,2233728976562,1225554218750,1225658423437,2233833242187
1623775792487000434,7c:df:a1:0e:db:f1,41,58,6.239999771118164,7.5,3,0,-75,57812,1930294975000,1674774132812,1674878423437,1930399323437
1623775792487000434,7c:df:a1:0e:db:f1,41,58,6.239999771118164,7.5,3,1,-75,59375,1962486962500,1706966150000,1707070423437,1962591295312
1623775792487000434,7c:df:a1:0e:db:f1,41,58,6.239999771118164,7.5,3,2,-75,59375,1994688962500,1739168178125,1739272423437,1994793267187
1623775793001012004,7c:df:a1:0f:74:e9,9,21,1.4299999475479126,2.0,3,0,-73,23438,4211631826562,2189485678125,2189589423437,4211735595312
1623775793001012004,7c:df:a1:0f:74:e9,9,21,1.4299999475479126,2.0,3,1,-73,20313,4243801826562,2221655770312,2221759423437,4243905500000
1623775793001012004,7c:df:a1:0f:74:e9,9,21,1.4299999475479126,2.0,3,2,-72,21876,4275990826562,2253844862500,2253948423437,4276094409375
1623775793508284979,7c:df:a1:05:87:c7,33,49,5.070000171661377,7.5,2,0,-78,50000,2218617442187,2704189304687,2704293423437,2218721610937
1623775793508284979,7c:df:a1:05:87:c7,33,49,5.070000171661377,7.5,2,1,-77,48438,2250772442187,2736344359375,2736448423437,2250876554687
1623775794024339733,7c:df:a1:06:b9:dd,39,56,5.980000019073486,9.989999771118164,3,0,-87,39063,4226990964062,3218815909375,3218919423437,4227094517187
1623775794024339733,7c:df:a1:06:b9:dd,39,56,5.980000019073486,9.989999771118164,3,1,-89,56251,4259183964062,3251008906250,3251112423437,4259287537500
1623775794024339733,7c:df:a1:06:b9:dd,39,56,5.980000019073486,9.989999771118164,3,2,-88,75001,4291364964062,3283189906250,3283293423437,4291468556250
1623775794540044649,7c:df:a1:0e:db:f1,44,61,6.630000114440918,7.5,3,0,-76,62500,3983239975000,3727720860937,3727824423437,3983343600000
1623775794540044649,7c:df:a1:0e:db:f1,44,61,6.630000114440918,7.5,3,1,-76,60938,4015438962500,3759919878125,3760023423437,4015542568750
1623775794540044649,7c:df:a1:0e:db:f1,44,61,6.630000114440918,7.5,3,2,-75,62500,4047610975000,3792091915625,3792195423437,4047714545312
1623775795058101742,7c:df:a1:0f:74:e9,9,21,1.4299999475479126,2.0,3,0,-73,21875,6265945851562,4243805564062,4243909423437,6266049732812
1623775795058101742,7c:df:a1:0f:74:e9,9,21,1.4299999475479126,2.0,3,1,-73,20313,6297650826562,4275510628125,4275614423437,6297754642187
1623775795058101742,7c:df:a1:0f:74:e9,9,21,1.4299999475479126,2.0,3,2,-73,21875,6331098851562,4308958748437,4309062423437,6331202548437
1623775795571730616,7c:df:a1:05:87:c7,34,50,5.199999809265137,7.5,3,0,-78,60938,4275704442187,4761279856250,4761383423437,4275808070312
1623775795571730616,7c:df:a1:05:87:c7,34,50,5.199999809265137,7.5,3,1,-78,48438,4308982442187,4794557910937,4794661423437,4309086003125
1623775795571730616,7c:df:a1:05:87:c7,34,50,5.199999809265137,7.5,3,2,-78,40626,4342998442187,4828573968750,4828678423437,4343102937500
1623775796087944860,7c:df:a1:06:b9:dd,32,48,4.940000057220459,8.0,3,0,-87,35938,6284023964062,5275848600000,5275952423437,6284127823437
1623775796087944860,7c:df:a1:06:b9:dd,32,48,4.940000057220459,8.0,3,1,-88,48438,6316180976562,5308005596875,5308109423437,6316284851562
1623775796087944860,7c:df:a1:06:b9:dd,32,48,4.940000057220459,8.0,3,2,-88,60938,6348370964062,5340195579687,5340299423437,6348474868750
1623775796600111611,7c:df:a1:0e:db:f1,44,61,6.630000114440918,7.5,3,0,-76,64063,6049336962500,5793819575000,5793923423437,6049440875000
1623775796600111611,7c:df:a1:0e:db:f1,44,61,6.630000114440918,7.5,3,1,-76,57812,6080671962500,5825154598437,5825258423437,6080775845312
1623775796600111611,7c:df:a1:0e:db:f1,44,61,6.630000114440918,7.5,3,2,-75,62500,6112855962500,5857338628125,5857442423437,6112959820312
1623775797116859753,7c:df:a1:0f:74:e9,12,24,1.8200000524520874,2.0,3,0,-73,23438,1617010426562,6305762418750,6305866423437,1617114454687
