timestamp,anchorId,rtt_est,rtt_raw,dist_est,own_est,num_frames,frame_index,rssi,rtt,t1,t2,t3,t4
1623777194078218944,7c:df:a1:06:b9:dd,45,62,6.760000228881836,5.989999771118164,3,0,-84,64063,2785704226562,6646656440625,6646760035937,2785807885937
1623777194078218944,7c:df:a1:06:b9:dd,45,62,6.760000228881836,5.989999771118164,3,1,-83,64063,2817857226562,6678809539062,6678914035937,2817961787500
1623777194078218944,7c:df:a1:06:b9:dd,45,62,6.760000228881836,5.989999771118164,3,2,-84,59375,2850104226562,170235937,274635937,2850208685937
1623777194592963258,7c:df:a1:0f:74:e9,22,36,3.380000114440918,2.0,3,0,-69,35938,1538407362500,452061778125,452165635937,1538511256250
1623777194592963258,7c:df:a1:0f:74:e9,22,36,3.380000114440918,2.0,3,1,-69,35937,1570619362500,484273807812,484377635937,1570723226562
1623777194592963258,7c:df:a1:0f:74:e9,22,36,3.380000114440918,2.0,3,2,-69,37500,1602812362500,516466839062,516570635937,1602916196875
1623777195107111544,7c:df:a1:05:87:c7,32,48,4.940000057220459,7.5,3,0,-75,46875,1310901842187,966897332812,967001635937,1311006192187
1623777195107111544,7c:df:a1:05:87:c7,32,48,4.940000057220459,7.5,3,1,-75,50000,1341699842187,997695389062,997799635937,1341804139062
1623777195107111544,7c:df:a1:05:87:c7,32,48,4.940000057220459,7.5,3,2,-75,48438,1374797842187,1030793448437,1030897635937,1374902078125
1623777195621839200,7c:df:a1:0e:db:f1,49,67,7.409999847412109,7.0,3,0,-80,67188,3319663376562,1479671148437,1479775635937,3319767931250
1623777195621839200,7c:df:a1:0e:db:f1,49,67,7.409999847412109,7.0,3,1,-80,64063,3351848364062,1511856143750,1511960635937,3351952920312
1623777195621839200,7c:df:a1:0e:db:f1,49,67,7.409999847412109,7.0,3,2,-80,71875,3384210364062,1544218154687,1544322635937,3384314917187
1623777196136871116,7c:df:a1:06:b9:dd,51,69,7.670000076293945,5.989999771118164,3,0,-83,68750,4844175226562,1994247285937,1994351635937,4844279645312
1623777196136871116,7c:df:a1:06:b9:dd,51,69,7.670000076293945,5.989999771118164,3,1,-83,67188,4880555226562,2030627396875,2030731635937,4880659532812
1623777196136871116,7c:df:a1:06:b9:dd,51,69,7.670000076293945,5.989999771118164,3,2,-83,73438,4908562226562,2058634481250,2058738635937,4908666454687
1623777196648895085,7c:df:a1:0f:74:e9,21,35,3.25,2.0,3,0,-69,34375,3595288362500,2508944657812,2509048635937,3595392375000
1623777196648895085,7c:df:a1:0f:74:e9,21,35,3.25,2.0,3,1,-69,37500,3627476362500,2541132687500,2541236635937,3627580348437
1623777196648895085,7c:df:a1:0f:74:e9,21,35,3.25,2.0,3,2,-69,34375,3659647375000,2573303728125,2573407635937,3659751317187
1623777197165477544,7c:df:a1:05:87:c7,31,46,4.679999828338623,2.0,3,0,-75,45313,3367615842187,3023615064062,3023718635937,3367719459375
1623777197165477544,7c:df:a1:05:87:c7,31,46,4.679999828338623,2.0,3,1,-75,46875,3399811842187,3055811123437,3055914635937,3399915401562
1623777197165477544,7c:df:a1:05:87:c7,31,46,4.679999828338623,2.0,3,2,-75,46875,3432020842187,3088020182812,3088124635937,3432125342187
1623777197681823485,7c:df:a1:0e:db:f1,50,68,7.539999961853027,7.0,3,0,-80,65625,5379691364062,3539699673437,3539803635937,5379795392187
1623777197681823485,7c:df:a1:0e:db:f1,50,68,7.539999961853027,7.0,3,1,-80,71875,5410547364062,3570555676562,3570659635937,5410651395312
1623777197681823485,7c:df:a1:0e:db:f1,50,68,7.539999961853027,7.0,3,2,-80,67188,5442738376562,3602746701562,3602850635937,5442842378125
1623777198194284862,7c:df:a1:06:b9:dd,52,71,7.929999828338623,5.989999771118164,3,0,-84,54688,192057826562,4053022500000,4053126635937,192162017187
1623777198194284862,7c:df:a1:06:b9:dd,52,71,7.929999828338623,5.989999771118164,3,1,-84,78125,224224826562,4085189601562,4085293635937,224328939062
1623777198194284862,7c:df:a1:06:b9:dd,52,71,7.929999828338623,5.989999771118164,3,2,-84,82813,256507826562,4117472704687,4117576635937,256611840625
1623777198711579067,7c:df:a1:0f:74:e9,21,35,3.25,2.0,3,0,-69,34375,5658866362500,4572524540625,4572628635937,5658970492187
1623777198711579067,7c:df:a1:0f:74:e9,21,35,3.25,2.0,3,1,-69,35938,5686663362500,4600321565625,4600425635937,5686767468750
1623777198711579067,7c:df:a1:0f:74:e9,21,35,3.25,2.0,3,2,-69,37500,5718860362500,4632518595312,4632622635937,5718964440625
1623777199224391558,7c:df:a1:05:87:c7,32,48,4.940000057220459,7.5,3,0,-75,48438,5427052842187,5083055793750,5083159635937,5427156732812
1623777199224391558,7c:df:a1:05:87:c7,32,48,4.940000057220459,7.5,3,1,-75,48438,5459236842187,5115239853125,5115343635937,5459340673437
1623777199224391558,7c:df:a1:05:87:c7,32,48,4.940000057220459,7.5,3,2,-75,50000,5491444842187,5147447910937,5147551635937,5491548617187
1623777199734758998,7c:df:a1:0e:db:f1,52,71,7.929999828338623,7.0,2,0,-80,71875,728511964062,5599407217187,5599511635937,728616454687
1623777199734758998,7c:df:a1:0e:db:f1,52,71,7.929999828338623,7.0,2,1,-80,71876,760659964062,5631555221875,5631659635937,760764450000
1623777200250360769,7c:df:a1:06:b9:dd,52,70,7.800000190734863,5.989999771118164,3,0,-83,73438,2255845826562,6116816725000,6116920635937,2255949810937
