timestamp,anchorId,rtt_est,rtt_raw,dist_est,own_est,num_frames,frame_index,rssi,rtt,t1,t2,t3,t4
1623778100981891133,7c:df:a1:06:b9:dd,11,23,1.690000057220459,2.0,3,0,-70,23438,2757608364062,6338246654687,6338351035937,2757712768750
1623778100981891133,7c:df:a1:06:b9:dd,11,23,1.690000057220459,2.0,3,1,-70,21875,2789804364062,6370442635937,6370547035937,2789908785937
1623778100981891133,7c:df:a1:06:b9:dd,11,23,1.690000057220459,2.0,3,2,-70,25001,2821979364062,6402617618750,6402722035937,2822083806250
1623778101497446350,7c:df:a1:0f:74:e9,30,45,4.550000190734863,2.0,3,0,-72,43750,2517715362500,141839796875,141943635937,2517819245312
1623778101497446350,7c:df:a1:0f:74:e9,30,45,4.550000190734863,2.0,3,1,-72,46875,2549899375000,174023837500,174127635937,2550003220312
1623778101497446350,7c:df:a1:0f:74:e9,30,45,4.550000190734863,2.0,3,2,-72,46875,2582099362500,206223850000,206327635937,2582203195312
1623778102004519415,7c:df:a1:05:87:c7,78,101,11.829999923706055,10.989999771118164,2,0,-82,98438,2324422842187,691449779687,691553635937,2324526796875
1623778102004519415,7c:df:a1:05:87:c7,78,101,11.829999923706055,10.989999771118164,2,1,-82,104688,2356682842187,723709837500,723813635937,2356786745312
1623778102521342696,7c:df:a1:06:b9:dd,10,22,1.559999942779541,2.0,3,0,-70,21876,4306314364062,1176065390625,1176169635937,4306418631250
1623778102521342696,7c:df:a1:06:b9:dd,10,22,1.559999942779541,2.0,3,1,-70,23438,4334271364062,1204022375000,1204126635937,4334375648437
1623778102521342696,7c:df:a1:06:b9:dd,10,22,1.559999942779541,2.0,3,2,-70,23438,4366458364062,1236209356250,1236313635937,4366562667187
1623778103037691250,7c:df:a1:0f:74:e9,30,45,4.550000190734863,2.0,3,0,-72,46875,4057264362500,1681390115625,1681493635937,4057367929687
1623778103037691250,7c:df:a1:0f:74:e9,30,45,4.550000190734863,2.0,3,1,-72,43750,4089456362500,1713582143750,1713686635937,4089560898437
1623778103037691250,7c:df:a1:0f:74:e9,30,45,4.550000190734863,2.0,3,2,-72,45313,4121654362500,1745780171875,1745884635937,4121758871875
1623778103553232266,7c:df:a1:05:87:c7,72,94,10.920000076293945,9.0,3,0,-82,96876,3846242842187,2213272271875,2213376635937,3846347303125
1623778103553232266,7c:df:a1:05:87:c7,72,94,10.920000076293945,9.0,3,1,-82,90626,3878501842187,2245531318750,2245635635937,3878606250000
1623778103553232266,7c:df:a1:05:87:c7,72,94,10.920000076293945,9.0,3,2,-81,96876,3914859842187,2281889384375,2281993635937,3914964190625
1623778104069239314,7c:df:a1:06:b9:dd,9,21,1.4299999475479126,2.0,3,0,-70,20313,5846601376562,2716351526562,2716455635937,5846705506250
1623778104069239314,7c:df:a1:06:b9:dd,9,21,1.4299999475479126,2.0,3,1,-70,21876,5878762376562,2748512509375,2748616635937,5878866525000
1623778104069239314,7c:df:a1:06:b9:dd,9,21,1.4299999475479126,2.0,3,2,-71,21876,5911010364062,2780760478125,2780864635937,5911114543750
1623778104584066214,7c:df:a1:0f:74:e9,30,45,4.550000190734863,2.0,3,0,-73,43750,5606983362500,3231110435937,3231214635937,5607087606250
1623778104584066214,7c:df:a1:0f:74:e9,30,45,4.550000190734863,2.0,3,1,-72,46875,5639180362500,3263307465625,3263411635937,5639284579687
1623778104584066214,7c:df:a1:0f:74:e9,30,45,4.550000190734863,2.0,3,2,-72,45313,5671362362500,3295489490625,3295593635937,5671466553125
1623778105099892975,7c:df:a1:05:87:c7,74,96,11.180000305175781,9.0,3,0,-81,96876,5378682842187,3745714775000,3745818635937,5378786800000
1623778105099892975,7c:df:a1:05:87:c7,74,96,11.180000305175781,9.0,3,1,-81,89063,5410876842187,3777908828125,3778012635937,5410980739062
1623778105099892975,7c:df:a1:05:87:c7,74,96,11.180000305175781,9.0,3,2,-82,103126,5443071842187,3810103884375,3810207635937,5443175696875
1623778105612727835,7c:df:a1:06:b9:dd,10,22,1.559999942779541,2.0,3,0,-70,21875,679765964062,4260401626562,4260505635937,679869995312
